Sentiment,Sentence,preprocess_libyan_arabic,Processed_Text_base_ai
negative,في جرة المصرف ايطيح سعدها,جره مصرف ايطيح سعد,جرى مصرف طيح سعد
positive,و اللي جرى عده سحاب و عابر,جري عده سحاب عابر,جرى عد سحاب عابر
negative,في جرة اخطاك,جره اخطا,جرى خطا
negative,جرينا جرينا,جرينا جرينا,جرى جرى
negative,جرينا تعبنا و تعبن ركابينا,جرينا تعب تعبن ركاب,جرى تعب تعب ركب
negative,بي جروح ما ليها دواء,بي جروح دواء,جروح دواء
negative,جروح من جروح القلب كانه صابك,جروح جروح قلب صاب,جروح جروح قلب صاب
positive,و الجرم و المنقوش يوم الويل,جرم المنقوش يوم الويل,جرم منقوش يوم ويل
negative,و حتى انجرفنا شوي في غليينا,جرف شوي غليينا,جرف شوي غلي
negative,و جرعن لاخيار فيه المذلة,جرعن اخيار فيه مذل,جرعن اخيار مذل
negative,يا جرذان من أنتم,يا جرذان انتم,جرذان انتم
positive,جرد و انقاب و حلاط,جرد قاب حلاط,جرد قاب حلاط
positive,و جرد سركسي معروف بنقابات,جرد سركس روف نقاب,جرد سركس روف نقاب
positive,في جردي تبقى معصوبة,جرد تبق صوب,جرد تبق صوب
negative,جرح ينسينا في جرح,جرح ينس جرح,جرح ينس جرح
negative,وين جرح يلم,جرح يلم,جرح يلم
negative,و حتى الجرح من يد الطبيب,جرح يد طبيب,جرح يد طبيب
negative,اللي يجرحك في اوقات تحتاجله,يجرح اوق تحتاجل,جرح وقت احتاج
negative,ما نجرح هلي جارحني,نجرح هلي جارح,جرح هل جارح
negative,جرحي نقض مالي عليك ملام,جرح نقض مالي عليك ملام,جرح نقض مالى ملام
negative,جروح تنقض و يزيد عندها,جروح تنقض يزيد عندها,جرح نقض زيد عند
negative,تجرحني موضوع بروحه,تجرح موضوع روح,جرح موضوع روح
positive,اجروح ماكنة تبرى,اجروح ماكنه تبر,جرح ماكن تبر
negative,اللي انجرحت من ماضيها,جرح ماضيها,جرح ماضي
negative,و فيه من جرح ما تلقى طبيبه,فيه جرح تلق طبيب,جرح لقى طبيب
negative,اجروح الكلمة ما تلتم,اجروح كلم تلتم,جرح كلم لم
negative,يجرح كلامه و فيه ماني غابي,يجرح كلام فيه ماني غاب,جرح كلام غاب
negative,و اللي يجرحك ما يكون يوم ضميدة,يجرح يكون يوم ضميد,جرح كان يوم ضميد
negative,و يا من جرح قلب صاحبي الله يجازيك,يا جرح قلب صاحب الله يجاز,جرح قلب صاحب الله جزا
negative,ويا من جرح قلب صاحبي الله يجازيك,ويا جرح قلب صاحب الله يجاز,جرح قلب صاحب الله جزا
negative,يا جرح في قلب صاحبي الله يبريك,يا جرح قلب صاحب الله يبر,جرح قلب صاحب الله بر
negative,جرح القريب اخصوصي انكانه عيبه,جرح قريب اخصوص عيب,جرح قريب اخصوص عيب
negative,و جرحي القديم ايسطر,جرح القديم ايسطر,جرح قديم سطر
negative,جرح قديم أنا منا نعاني,جرح قديم منا نعا,جرح قدم ناع
negative,و الجرح فينا كيف ما هو فيكم,جرح فينا فيكم,جرح في فيكم
negative,و جرح فجاش مكن تسطيره,جرح فجاش مكن تسطير,جرح فج اش مكن سطر
positive,و من جرح الغلا تبرى,جرح غلا تبر,جرح غلا تبر
negative,من جرح غدار ماكن,جرح غدار ماكن,جرح غدر ماكن
negative,تجرحيني واتغابي,تجرح اتغاب,جرح غاب
negative,تجرحيني و اتغابي,تجرح اتغاب,جرح غاب
negative,يا جرح في عمري كبير,يا جرح عمر كبير,جرح عمر كبير
positive,الجرح أيطيب سيوره أيبال,جرح ايطيب سيور ايب,جرح طيب سور يب
positive,ما نجرحه حتى ان طعني ابغله,نجرح ان طعني ابغل,جرح طعن غل
positive,و للجرح طب و ضمايد,جرح طب ضمايد,جرح طب ضمايد
positive,الجرح مهما طال بكرة يبرى,جرح مهما طال بكره يبر,جرح طال بكره بري
negative,إن جرحي يصير أخطر,ان جرح يصير اخطر,جرح صير خطر
negative,فيه من اجروح صعيبة,فيه اجروح صعيب,جرح صعيب
negative,منها اجروح اصحابك,اجروح اصحاب,جرح صحب
positive,اوقات الجرح من صبرك ايطيب,اوق جرح صبر ايطيب,جرح صبر طيب
positive,لا نجرحك في شي مهما يصير,نجرح شي مهما يصير,جرح شي صير
negative,تجرح شعوري ليش,تجرح شعور ليش,جرح شعور ليش
negative,يجرح شعورك فيه ينفث سمه,يجرح شعور فيه ينفث سمه,جرح شعر نفث سم
negative,من جرح سطار ماكن,جرح سطار ماكن,جرح سطر ماكن
negative,جرحك و أسباب تناهيدك,جرح اسباب تناهيد,جرح سبب تنهيد
negative,علي جرح ما انريده ايطيب و طاب,جرح ريد ايطيب طاب,جرح ريد طيب طاب
negative,أنا جروحي ما فيها دم,جروح فيها دم,جرح دم
negative,و لا تجرحه و لا ادير فيه مفيدة,تجرح ادير فيه مفيد,جرح دار فايده
negative,و فيه من اجروح ممكن اتخلف علة,فيه اجروح ممكن اتخلف عله,جرح خلف عله
negative,مجروح منك خاطري واجعني,مجروح منك خاطر اجع,جرح خاطر جع
positive,جرح الحياة في خافقي تشفيه,جرح الحياه خافق تشف,جرح حياه خفق شوف
negative,جروح الحياة منها اجروح مذلة,جروح الحياه اجروح مذل,جرح حياه جرح مذل
negative,كيف يجرح حبيب حبيبه,يجرح حبيب حبيب,جرح حبيب حبيب
negative,و جرح الحبيب ماهو جريمة,جرح حبيب ماهو جريم,جرح حبيب جرم
negative,و جرح الحبيب ما يبراش,جرح حبيب يبرا,جرح حبيب برا
negative,انتوا الجرح فيكم و الوجيعة فينا,انتوا جرح فيكم جيع فينا,جرح جوع
negative,و جرحتني في المجامع,جرح مجامع,جرح جمع
negative,جرحي جاني,جرح جاني,جرح جاني
negative,و منها جروح الجارحين احبابك,جروح جارح احباب,جرح جارح احباب
negative,و لا جرح من غير جارح,جرح جارح,جرح جارح
negative,فلي جروحه تنتسى تبيله,فلي جروح تنتس تبيل,جرح تنسى تبى
negative,بجرحه بري جرحي و زاد اعنادي,جرح بري جرح زاد اعناد,جرح بري جرح زاد عناد
negative,و لا الجرح يبرا كانك داويته,جرح يبرا داو,جرح برا داو
negative,الجرح ما نرضاه,جرح نرض,جرح ارض
negative,و كل جرح من الاخر ايزيدك ذلة,كل جرح الاخر ايزيد ذله,جرح اخر يزيد ذل
negative,نجرح احساسه,نجرح احساس,جرح احساس
negative,أنا مجرح,مجرح,جرح
negative,ما هي كيف اجروح الغير,اجروح,جرح
negative,و لا خاطري في جرحك,خاطر جرح,جرح
negative,جرب كيف الناس تحس,جرب ناس تحس,جرب ناس حس
positive,جرب فكه اتشوف عجايب,جرب فكه اتشوف عجايب,جرب فك شوف عجايب
positive,جرب قبل ما يعلم الضي,جرب يعلم الضي,جرب علم ضي
negative,جربتهم ما خير يثمر فيهم,جرب خير يثمر فيهم,جرب خير يثمر في
negative,ما جربوا مالحب كان اقشوره,جرب مالحب اقشور,جرب حب قشر
negative,جربتهم جملية,جرب جمليه,جرب جمليه
positive,جرب تعال انشد علي الغير,جرب تعال انشد,جرب تعال نشد
negative,في جراف شالاته امواج,جراف شالاته امواج,جراف شال موج
positive,تجري في وسط شراييني,تجر وسط شرا,جر وسط شر
positive,ياجرك مولاك,ياجرك مولا,جر مولا
negative,جر غنايا,جر غنايا,جر غنى
negative,راه جر العشاق طويل,جر عشاق طويل,جر عشاق طويل
negative,جر عذابه,جر عذاب,جر عذاب
negative,يجري وين مصلحته تبان,يجر مصلح تبان,جر صلح تبان
negative,في جذع نخلة تخمديه اشهابنا,جذع نخل تخمد هاب,جذع نخل تخمد هاب
positive,هو الجذع وغيره شناغيب,جذع شناغيب,جذع شناغيب
positive,في الجذب عكرتي مزاج انيوتن,جذب عكر مزاج يوتن,جذب عكر مزاج يوتن
positive,و للي جذبني شورها منظرها,للي جذب شور منظرها,جذب شور منظر
positive,ماهو جديد عليك,ماهو جديد عليك,جديد عليك
positive,و انت الجديد,جديد,جديد
positive,مع اللي جدايلها اطوال و صفرة,جدايل اطو صفر,جدايل طو صفر
positive,هو كان في وجداني,جدا,جدا
positive,و جدي قرم امضفيها عباته,جدي قرم امضف عباته,جد قرم امضف عبا
negative,و واجد شفت من ظلم النفوس,اجد شفت ظلم نفوس,جد شوف ظلم نفس
positive,للّي من جده شاريها,لل ي جده شار,جد شار
positive,ان جد الجد,ان جد الجد,جد جد
positive,من جد الجد,جد الجد,جد جد
positive,و جدك ترس عالزرع يا مشكاي,جدك ترس عالزرع يا مشكاي,جد ترس زرع مشكا
negative,و كانك جحدته فيك زاد اجراح,جحد فيك زاد اجراح,جحد فيك زاد جرح
negative,جثة أنواري تحت التراب لحوده,جثه انواري تراب حود,جثه انوار تراب حود
negative,و جتني الضبابه في عيني,جتني ضباب عيني,جت ضباب عين
positive,على من هو جبينه بالمكارم ناير,جبينه مكارم ناير,جبين مكارم ناير
negative,في جبهته خاسر,جبهته خاسر,جبهه خاسر
positive,و جبنة من نوع البطريق,جبن نوع طريق,جبن نوع طريق
negative,و اللي الجبن يحسابه شرف,جبن يحساب شرف,جبن حسب شرف
positive,نا جبل قاسي قاسيات افروعي,نا جبل قاس قاس افروع,جبل قاس قاس فروع
positive,و لا جبل ريح انضنها هزاته,جبل ريح انضنها هزاته,جبل ريح هز
positive,لبوجبيرة و شتوان معطيات,جبير شتوان معطيات,جبر شتوان معطي
negative,و اللي تجبره يجري علي تكسيرك,تجبر يجر تكسير,جبر جر تكسير
negative,و جبد اسماهم صار معارة,جبد اسما صار معاره,جبد اسم صار معاره
negative,و كم من جبان و عاقل ف تركينة,كم جبان عاقل ف تركينه,جبان عاقل تركين
positive,يا جبار تنسف من ظلم,يا جبار تنسف ظلم,جبار نسف ظلم
positive,لا جبار لاهو اللي عنيد,جبار اهو عنيد,جبار اهو عنيد
positive,اليوم جاينا و اتلالي,جاينا اتل,جاين اتل
positive,جايب امعايا شوق مالا حد,جايب امعايا شوق مالا حد,جايب مع شوق حد
positive,اللي جايبين اقدار هيا ليهم,جايب اقدار هيا ليهم,جايب قدر هوم
negative,جايبين تعليمات,جايب تعليم,جايب علم
negative,جايب عدادين اللوم,جايب عداد اللوم,جايب عد لوم
positive,جايبينه من البر بحزيمات,جايب البر حزيم,جايب بر حزم
negative,اللي جايكن يطفر طفير الموج,جايكن يطفر طفير موج,جاي طفر طفر موج
negative,و جاي تدوي تو,جاي تدو تو,جاى تو
positive,يجاوب ايقوله عادي,يجاوب ايقول عاد,جاوب قول عاد
negative,تجاوب عليا اتقول ماني رايق,تجاوب عليا اتقول ماني رايق,جاوب قول روق
negative,جاوبت قتله خاينة و خوانة,جاوب قتل خاينه خوان,جاوب قتل خاين خوان
positive,جاوب عليه و قال,جاوب قال,جاوب قال
positive,جاوب بلا تفكير,جاوب بلا تفكير,جاوب فكر
negative,لا انجاوبك وين ماعليا اتنادي,جاوب ماعليا اتناد,جاوب علو ناد
negative,جاوب بصوته الخسيس,جاوب بصوته خسيس,جاوب صوت خسيس
positive,غير جاوبي يا سمحة التهميدة,جاوب يا سمح تهميد,جاوب سمح تهميد
positive,جاوب زماني مبتسم,جاوب زما مبتسم,جاوب زم مبتسم
negative,و لا كل من جاوب ايرد اسوال,كل جاوب ايرد اسو,جاوب رد سو
negative,اتجاوب و ما تحتد,اتجاوب تحتد,جاوب حتد
positive,و انجاوب نا بين ايديك,جاوب نا ايد,جاوب ايد
negative,و من جاوبك بالآه,جاوب بالاه,جاوب الله
negative,و لو كانك جاوبت,لو جاوب,جاوب
negative,من ايجاوبه,ايجاوب,جاوب
negative,هوه ما جاوبني,هوه جاوب,جاوب
positive,و الجاوي معاه المسك و الوابينة,جاو المسك الوابينه,جاو مسك وابن
positive,جتهم العطلة الطويلة,جتهم عطل طويل,جاهم عطل طويل
negative,كيف إللى جاهل ما يقرأ,جاهل يقرا,جاهل قرا
negative,و الجاهل المتعلم البايع دينه,جاهل متعلم ايع دينه,جاهل علم عي دين
negative,بجاه مسكين,بجاه مسكين,جاه مسكين
positive,جاها الغلاء صدفة بلا ميعاد,جاها غلاء صدف بلا ميعاد,جاه غلا صدف ميعاد
positive,من جاه بطيابة,جاه طياب,جاه طياب
negative,جاه طغيان,جاه طغيان,جاه طغيان
negative,جاه الطبيب و حط له السماعة,جاه طبيب حط له سماع,جاه طبيب حط سماع
positive,و جاه رد م الأطفال,جاه رد م الاطفال,جاه رد اطفال
negative,جاه الخريف يغني,جاه خريف يغني,جاه خريف غنى
negative,ما جاه حد واساه,جاه حد واساه,جاه حد واساه
positive,بجاه من تاب و من صلى و حج,بجاه تاب صلي حج,جاه تاب صلى حج
positive,ان جاه البلا ما يذل لو كان,ان جاه البلا يذل لو,جاه بلا ذل لو
negative,بجاه الله العالي في سماه,بجاه الله العالي سماه,جاه الله عالي سماء
positive,بجاه الله يا حسونة الغالي,بجاه الله يا حسون الغالي,جاه الله حسون غالي
negative,و لا من امجاملني و لا امحاديني,امجامل امحاد,جامل حاد
positive,و جامع امحمد رمز بقياسينا,جامع امحمد رمز قياس,جامع امحمد رمز قيس
positive,غير لجام الحر امروة,جام الحر امر,جام حر امر
negative,لا انجاملك في الحب موش معتادي,جام الحب موش تاد,جام حب مش تاد
positive,و جالاطي و أصناف حلويات,جالاط اصناف حلو,جالاط صنف حلو
negative,جافل ليالي,جافل ليالي,جافل ليل
negative,و من اللي جافي و قاسي,جاف قاس,جاف قاس
positive,حتى و انت جافيه تشغله,جاف تشغل,جاف شغل
positive,اللي جافي سيوره يرد,جاف سيور يرد,جاف سير رد
positive,و لا من جافي حاديناه,جاف حاد,جاف حاد
negative,و انت اللي جافي و جافيني,جاف جاف,جاف جاف
negative,ﻭ ﻗﻠﻮب جافية ﻟﻠﻲ ﻋﻠﻴﻬﻢ جاﻓﻲ,جاف جا,جاف جا
negative,كان جافيت تاخد ع الجفا,جاف تاخد ع جفا,جاف تاخد جفا
negative,الاوجاع في قلبك عليها اتعسي,جاع قلب عليها اتعس,جاع قلب تعس
negative,جاع الشعب من نقص المعاش,جاع شعب نقص المعاش,جاع شعب نقص معاش
negative,و لا كل فجاع فراق,كل جاع راق,جاع راق
negative,و كانه جاع في بطنه كلاك,جاع بطنه كلا,جاع بطن كلا
negative,فوق لوجاع ايهيل,جاع ايهيل,جاع ايهيل
negative,في جاش فيه المهاويل غابن,جاش فيه مهاويل غابن,جاش مهول غاب
negative,جارح لكن فرخ نعامه,جارح فرخ نعام,جارح فرخ نعام
negative,يا جارحه شن درت فيه,يا جارح شن درت فيه,جارح شن فعل هو
negative,يا جارحه و ما حاس بيه,يا جارح حاس بيه,جارح حس بيه
negative,يا جارحه من ايداويه,يا جارح ايداو,جارح ايد
negative,يا جارحه من ايرضيه,يا جارح ايرض,جارح ارض
positive,و نحن جارنا ما نهينوه,جار نهينوه,جار نهن
negative,من جيرة ناس سو سكنو احداها,جير ناس سو سكنو احدا,جار ناس سو سكن احد
positive,جاري و عمامي بالوفاء و خوالي,جار عمام بالوفاء خوالي,جار عمام وفاء خال
negative,جارن عليا و الزمان ايعاون,جارن عليا زمان ايعاون,جار على زمن عون
positive,و الجارة من الصبح اتجينا,جار صبح اتج,جار صبح اتج
negative,بالجور شوق صيفن من ربايع,جور شوق صيفن ربايع,جار شوق صيف ربيع
negative,الجار جاير و الخوت ماهم خوت,جار جاير الخوت ماهم خوت,جار جاير خوت خوت
negative,و من جارى إمعاك عاقب وراك,جار امعا عاقب وراك,جار امع عاقب وراك
positive,جـادت قبـل وما زالت اتجود,جاد وما زالت اتجود,جاد جاد
positive,جابر بيت واثق موش هافي,جابر بيت اثق موش هاف,جابر بيت وثق مش هاف
positive,كان جابلي ورده ايتورد لوني,جاب ورده ايتورد لوني,جاب ورد ورد لون
negative,و جابو وراهم عرم دبابات,جابو وراهم عرم دباب,جاب ورا عرم دبب
negative,و جابوا علينا في الكلام و قلوا,جاب علينا كلام قلوا,جاب كلام قال
negative,جايب القسوة امنين,جايب القسوه امن,جاب قسوه امن
negative,و جابت افلام امنتجات اطوال,جاب افلام امنتج اطو,جاب فلم انتج طو
negative,و وين جابوا افليسات,جاب افليس,جاب فلس
positive,جاب الفرج ربي,جاب الفرج ربي,جاب فرج رب
positive,جبت غزالي,جبت غزالي,جاب غزال
positive,جاب علامة,جاب علام,جاب علام
positive,هذا من اللي جيابة العز غمار,جياب العز غمار,جاب عز غمر
positive,جاب بطولة,جاب طول,جاب طول
positive,جابو شي ساهل حفظ نصه,جابو شي ساهل حفظ نصه,جاب شيء سهل حفظ نص
positive,ما جابها سيد السبيب,جاب سيد سبيب,جاب سيد سبيب
positive,وجابة سمح وان طال السريب,جاب سمح وان طال سريب,جاب سمح طال سريب
positive,و جابه ريح من بعد المغيب,جاب ريح مغيب,جاب ريح مغيب
negative,ما تجيب ريحها غير الشنايع,تجيب ريح شنايع,جاب ريح شنايع
negative,لا جابه رفيقي همس لا تبريح,جاب رفيق همس تبريح,جاب رفيق همس تبريح
negative,اللـي جابنـي ليهم رفقنـا لـوّل,جاب ليهم رفق لو,جاب رفق لو
positive,جابت ربيع العمر بعد خريفه,جاب ربيع عمر خريف,جاب ربيع عمر خريف
negative,و جابوا راي مستغرب عجيب,جاب راي مستغرب عجيب,جاب راي مستغرب عجيب
negative,جابوا احقاد م الماضي دفينة,جاب احقاد م الماضي دفينه,جاب حقد ماضي دفن
positive,و ما جابنه الجيابات,جابن جياب,جاب جيب
negative,وجابي جابن هالنقـناق,جاب جابن هالنقناق,جاب جابن نقناق
negative,ولا كل من جابت اتجيب ارجال,كل جاب اتجيب ارج,جاب جاب ارج
negative,ما جابها تفكير,جاب تفكير,جاب تفكير
positive,جبت اولافي,جبت اولاف,جاب اولاف
positive,ما جابهن بابور وسط المينا,جاب ابور وسط المينا,جاب ابور وسط مينا
positive,ياما جايب,ياما جايب,جاب
positive,ان جاء ابحن يلقاها الحنانه فينا,ان جاء ابحن يلقا حنان فينا,جاء ابحن لقا حنان في
positive,جيناك نشكو,جيناك نشكو,جا يشكو
positive,و جانا يبي تضميد الجراح,جانا يبي تضميد جراح,جا يبي ضمد جرح
negative,جتها ف الوجه و مخفيه,جتها ف الوجه مخف,جا وجه خف
positive,جانا كيف هدية من محب,جانا هديه محب,جا هدي هب
negative,جاك النوم و أنا ما ايجيني,جاك نوم ايج,جا نوم اج
negative,و جاها نصيب عنها غريب,جاها نصيب عنها غريب,جا نصيب غريب
negative,و كان جاها النصيب ايجوها,جاها نصيب ايجو,جا نصيب اجو
negative,و فجاءه كبر و انحسب م الكبار,جاء كبر حسب م كبار,جا كبر حسب كبار
negative,فجاءة قصتنا انتهت,جاء قصتنا انتهت,جا قصه انتهى
positive,و من جاينا بالقدر,جاينا بالقدر,جا قدر
positive,جانا بالغمر خذيناه,جانا غمر خذيناه,جا غمر خذيناه
negative,جت طيحته في انفوس موش سوية,جت طيح انفوس موش سويه,جا طيح نفس مش سوى
positive,وين ما انجيهم طيبة الترحيبة,انجيهم طيب ترحيب,جا طيب ترحيب
positive,و ان جاك ضيم يفزعلك و هو فزاعك,ان جاك ضيم يفزع زاع,جا ضيم فزع زاع
positive,اللي جاك صافي النية,جاك صاف النيه,جا صاف نيه
negative,جاك شهيد بحن ضمه ضمة,جاك شهيد بحن ضمه ضمه,جا شهيد بحن ضم ضم
positive,ان جتنا سوايا بالخطا ما نردو,ان جتنا سوايا خطا نردو,جا سوا خطا رد
positive,يجي كيف سلال لانياط,يجي سلال لانياط,جا سلال انياط
positive,يجوني ساعة,يجو ساع,جا ساع
negative,وين حق جاته الذيبة,حق جاته ذيب,جا ذيب
positive,و من جاك و دق علي بابك,جاك دق بابك,جا دق باب
positive,جاء الخير منك بزايد,جاء خير منك زايد,جا خير زايد
negative,و ان جاء ابخبث ياخذ رد ما في منه,ان جاء ابخبث ياخذ رد منه,جا خبث اخذ رد
negative,جوني اللي خانو غلايا قبل,جوني خانو غلايا,جا خان غلا
positive,جانا و حضناه و عالغير قدمناه,جانا حضناه عالغير قدمناه,جا حضن غير قدم
negative,جتني حرضا,جتني حرضا,جا حرض
negative,جانا الحرب,جانا حرب,جا حرب
negative,انجيك جمام,انجيك جمام,جا جمام
negative,و جي جارد امحشد عليهم غاير,جي جارد امحشد عليهم غاير,جا جارد امحشد غير
positive,و جاوي هناك يبات داير اغبوق,جاو يبات داير اغبوق,جا بات داير اغبوق
negative,لا جاني و لا اعتذر مني,جاني اعتذر مني,جا اعتذر من
negative,جت من ابحور بعيده,جت ابحور عيد,جا ابحور عيد
positive,وثير الوسايد تحت لخناق,ثير سايد خناق,ثير سايد خناق
positive,الثورة اتقول,ثور اتقول,ثور قول
positive,الثوره اتقول,ثور اتقول,ثور قول
positive,م الثوره و رسمة حالتها,م ثور رسم حالتها,ثور رسم حاله
positive,من اللي ثوريين,ثور,ثور
positive,الثوب كيف لون لامزان,ثوب لون امزان,ثوب لون مزان
positive,و ثوب الكذب ما عمري لبسته,ثوب كذب عمر لبسته,ثوب كذب عمر لبس
positive,في الثواني و السنين,الثواني السنين,ثواني سنين
positive,و ثمن العقار ايحدده المكان,ثمن عقار ايحدد مكان,ثمن عقار حدد مكان
negative,و الثلج ما ايذيبه لهيب النار,ثلج ايذيب هيب نار,ثلج يذوب هيب نار
negative,لو ثلجي ناشه تنينك,لو ثلج ناشه تنينك,ثلج ناش تنين
negative,و ثلج غريب ملفت للانظار,ثلج غريب ملف ظار,ثلج غريب ملف ظار
positive,ثلاثين يوم ماهن شوي,ثلاث يوم ماهن شوي,ثلاث يوم شوى
negative,والا ثلاثة و اكثر,والا ثلاث,ثلاث
positive,ثقيل كيف ميزان الذهب,ثقيل ميزان ذهب,ثقيل ميزان ذهب
negative,ثقيل دم و معاد نبيه,ثقيل دم معاد نبيه,ثقيل دم نبي
negative,ثقيل حملها و اتكيد من جربها,ثقيل حمل اتكيد جرب,ثقيل حمل كيد جرب
negative,ثقيل حمل,ثقيل حمل,ثقيل حمل
positive,ﻟﻠﻲ معاﻫﻢ ﺭﺁﺑﻄﻪ ﻭثقتنا,معا ثقتنا,ثقه
negative,ثاقل سمعنا و العيون اخسرنا,ثاقل سمع عيون اخسر,ثقل سمع عين خسر
negative,و يثقل لسانك كيف ثقل لساني,يثقل سان ثقل لساني,ثقل سان ثقل لسان
positive,المثقف ولى فراسه,مثقف ولي راس,ثقف ولي راس
negative,ثقافة السرقة امحلله يا خال,ثقاف سرق امحلل يا خال,ثقاف سرق امحلل خال
positive,و ثقافة و رقة و احساس,ثقاف رقه احساس,ثقاف رقه احساس
positive,ثقافة و ادب عن جيله فرق,ثقاف ادب جيل فرق,ثقاف ادب جيل فرق
positive,الثغر عقيق داير تبقيص,ثغر عقيق داير تبقيص,ثغر عقيق داير تبقيص
positive,هو كيف الثريا متربع احدا لاقمار,ثريا متربع احدا اقمار,ثريا ربع احد قمر
negative,و هل الثرى على زول غاليه,الثري زول غاليه,ثري زول غالي
negative,و انت ثرى يالساعدي جـبريل,ثري ساعد جبريل,ثرى ساعد جبريل
negative,و الثرثره ما أتجيب صيت اقوالها,ثرثر اتجيب صيت اقو,ثرثر جيب صيت قو
positive,ثبتنا ﻋﻠﻲ ﻃﺎﻋﺘﻚ ﻭ ﺍﻟﺪﻳﻦ,ثبتنا,ثبت
positive,و الآثام ما عمره تكون عقيمة,ثام عمر تكون عقيم,ثام عمر كون عقيم
negative,تاري المواجع في الخفا هاجمات,تار مواجع خفا هاجم,ثار وجع خفي هجم
negative,تاري النذالة اطباع هي هي,تار النذاله اطباع,ثار نذال طبع
positive,عالثار ما تلقاش يوم اسكوت,عالثار تلقا يوم اسكو,ثار لقا يوم سكو
negative,الثاير غاب و الفارس تخلى,ثاير غاب ارس تخلي,ثار غاب ارس خلى
positive,و بين من ثار على عيشة الذل,ثار عيشه الذل,ثار عيش ذل
positive,و تاريه عقلي بصحوته و منامه يحكي على غياته,تار عقلي صحو منامه يحكي غياته,ثار عقل صحو منام حكى غياه
positive,تاريك يا شوقي رفيق العمر,تار يا شوق رفيق عمر,ثار شوق رفيق عمر
negative,ثورة تشوف ف الفاسد اتسيبه,ثور تشوف ف اسد اتسيب,ثار شوف ف اسد تسيب
positive,لما ثار الشعب,ثار شعب,ثار شعب
negative,ثرنا رفضنا الظلم,ثرنا رفض ظلم,ثار رفض ظلم
negative,تاريتهن لا يرحمن لا يعفن,تار يرحمن يعفن,ثار رحم عاف
positive,الثورة دروس منها يستفاد,ثور دروس يستفاد,ثار درس استفاد
negative,و تاريتهم داسين لي كريهة,تار داس لي كريهه,ثار داس لى كره
negative,ثورة و حرب و ايزيد الفساد,ثور حرب ايزيد ساد,ثار حرب ازيد ساد
negative,و اللي ثار و حد الرود جيبه,ثار حد رود جيب,ثار حد رود جيب
positive,و منهو اللي ثاروا ثواره,منهو ثار ثوار,ثار ثوار
negative,و الثار ايجيب الهم,ثار ايجيب الهم,ثار ايجيب هم
positive,مع ثوارك,ثوار,ثار
positive,ثابتين ما نديروا اللي تقرضنا,ثاب ندير تقرض,ثاب ندر قرض
positive,ناهونا ثابت عالمبادي,ناهو ثاب عالمباد,ثاب مباد
positive,ثابت و عقلي ركيح,ثاب عقلي ركيح,ثاب عقل ركح
positive,ثابت ثبات الوثيدة,ثاب ثبات ثيد,ثاب ثبات ثيد
positive,فتيل العطا بفعال وقدنه,تيل عطا بفعال وقدنه,تيل عطا فعل قدن
negative,في التيك فوق القوز الاعدامات,التيك قوز عدام,تيك قوز عدم
positive,متيقنين رغم التباريح,متيقن رغم تباريح,تيقن رغم تباريح
positive,هي تيار قوي المدعية,تيار قوي مدع,تيار قوي مدع
negative,تيار عولمة و صراع حضارات,تيار عولم صراع حضار,تيار عولم صراع حضار
positive,بتيارها حق موش قولة قايل,تيار حق موش قول قايل,تيار حق قول قيل
positive,بتيارها اضوي اركان الحومة,تيار اضو اركان حوم,تيار اضو اركان حوم
positive,هي اتجي في أولها,اتج اول,تى اول
negative,لا تونسك كثرت المال,تونس كثر المال,تونس كثر مال
positive,توكل يكون الله فالتدبير,توكل يكون الله تدبير,توكل كون الله تدبير
positive,توكل ما عاد ادورني,توكل عاد ادور,توكل دور
positive,توكل عاللي ما يفوت عبيده,توكل عاللي يفو عبيد,توكل اللي فوت عبد
positive,عليه توكل,توكل,توكل
positive,في توكته مع اصحابه,توكته اصحاب,توكته اصحاب
negative,توقف على بابه عليك إيصده,توقف بابه عليك ايصد,توقف باب صد
positive,و توعى مع لفجور للتحطيب,توع جور تحطيب,توع جور تحطيب
positive,توضيح ما فيه عايق,توضيح فيه عايق,توضيح عاق
negative,لا من توضاء لا ركع لا صلى,توضاء ركع صلي,توضا ركع صلى
negative,علي توديع كم صاحب وديد,توديع كم صاحب ديد,توديع كم صاحب ديد
negative,و لآجل من توخيرة اسنينه,توخير اسن,توخير سن
positive,اتوحد كل المنقسمين,اتوحد كل قسم,توحد قسم
negative,اللي توجعك هجرة اللي راجيته,توجع هجر راج,توجع هجر راج
negative,و توجع الناس الساكتة عالعيبة,توجع ناس الساكته عالعيب,توجع ناس سكت عيب
negative,اللي توجعك منه اتجي تشميتة,توجع منه اتج تشم,توجع من شم
negative,اللي توجعك فللي ملاه العيب,توجع فللي ملاه عيب,توجع ملا عيب
negative,اللي توجعك لو انقول بالترتيب,توجع لو قول ترتيب,توجع قول رتب
negative,توجع فيا,توجع فيا,توجع في
negative,اللي توجعك غيبة اللي نصاح,توجع غيب نصاح,توجع غيب نصح
negative,اللي توجعك غيبة اصحاب الطيب,توجع غيب اصحاب طيب,توجع غيب صحب طيب
negative,اللي توجعك عاملتهم بالطيبة,توجع عامل طيب,توجع عمل طيب
negative,اللي توجعك طيحة اللي عليته,توجع طيح عليته,توجع طيح عليته
negative,و اللي توجعك طعنة اللي حاميته,توجع طعن حام,توجع طعن حام
